number,value,datetime_start,datetime_complete,duration,params_lags,state
0,213977852707.9635,2025-07-24 22:50:09.276199,2025-07-24 22:50:16.906637,0 days 00:00:07.630438,124,COMPLETE
1,77322425779.55952,2025-07-24 22:50:16.908170,2025-07-24 22:50:40.234566,0 days 00:00:23.326396,188,COMPLETE
2,3.925945131754361e+25,2025-07-24 22:50:40.235056,2025-07-24 22:51:03.335171,0 days 00:00:23.100115,186,COMPLETE
3,2.1468957370795922,2025-07-24 22:51:03.336705,2025-07-24 22:51:20.711770,0 days 00:00:17.375065,171,COMPLETE
4,0.14961964117546842,2025-07-24 22:51:20.712766,2025-07-24 22:51:22.229200,0 days 00:00:01.516434,11,COMPLETE
5,0.546501528639988,2025-07-24 22:51:22.230199,2025-07-24 22:51:34.488147,0 days 00:00:12.257948,145,COMPLETE
6,0.16646266213231836,2025-07-24 22:51:34.489159,2025-07-24 22:51:38.957224,0 days 00:00:04.468065,81,COMPLETE
7,0.47294102324106735,2025-07-24 22:51:38.958396,2025-07-24 22:51:46.119660,0 days 00:00:07.161264,110,COMPLETE
8,3.1654519462800423,2025-07-24 22:51:46.121193,2025-07-24 22:51:58.118011,0 days 00:00:11.996818,138,COMPLETE
9,0.12257809855490585,2025-07-24 22:51:58.119028,2025-07-24 22:52:00.555489,0 days 00:00:02.436461,43,COMPLETE
10,0.12129538393256689,2025-07-24 22:52:00.555995,2025-07-24 22:52:03.118446,0 days 00:00:02.562451,44,COMPLETE
11,0.12129538393256689,2025-07-24 22:52:03.118948,2025-07-24 22:52:05.662917,0 days 00:00:02.543969,44,COMPLETE
12,0.13549160126996385,2025-07-24 22:52:05.663915,2025-07-24 22:52:09.079186,0 days 00:00:03.415271,59,COMPLETE
13,0.13275384441293775,2025-07-24 22:52:09.080686,2025-07-24 22:52:10.960666,0 days 00:00:01.879980,24,COMPLETE
14,0.16646266213231836,2025-07-24 22:52:10.961665,2025-07-24 22:52:15.492007,0 days 00:00:04.530342,81,COMPLETE
15,0.12727087156525058,2025-07-24 22:52:15.493400,2025-07-24 22:52:18.414599,0 days 00:00:02.921199,50,COMPLETE
16,0.16646266213231836,2025-07-24 22:52:18.415092,2025-07-24 22:52:22.825715,0 days 00:00:04.410623,81,COMPLETE
17,0.16441272397749784,2025-07-24 22:52:22.827230,2025-07-24 22:52:24.310206,0 days 00:00:01.482976,6,COMPLETE
18,0.1304424435908644,2025-07-24 22:52:24.311196,2025-07-24 22:52:26.316879,0 days 00:00:02.005683,30,COMPLETE
19,0.14518234844741787,2025-07-24 22:52:26.317887,2025-07-24 22:52:30.111285,0 days 00:00:03.793398,68,COMPLETE
20,0.12649182168013717,2025-07-24 22:52:30.112296,2025-07-24 22:52:32.280927,0 days 00:00:02.168631,35,COMPLETE
21,0.12790786265054646,2025-07-24 22:52:32.281926,2025-07-24 22:52:35.190592,0 days 00:00:02.908666,52,COMPLETE
22,0.12432896578505241,2025-07-24 22:52:35.191591,2025-07-24 22:52:37.578556,0 days 00:00:02.386965,40,COMPLETE
23,0.36460926556050727,2025-07-24 22:52:37.579560,2025-07-24 22:52:42.952012,0 days 00:00:05.372452,95,COMPLETE
24,0.13609509987487398,2025-07-24 22:52:42.953021,2025-07-24 22:52:44.733312,0 days 00:00:01.780291,19,COMPLETE
25,0.15033002754818636,2025-07-24 22:52:44.733811,2025-07-24 22:52:48.534977,0 days 00:00:03.801166,71,COMPLETE
26,0.12129538393256689,2025-07-24 22:52:48.535996,2025-07-24 22:52:51.166988,0 days 00:00:02.630992,44,COMPLETE
27,0.37475988901437374,2025-07-24 22:52:51.168015,2025-07-24 22:52:57.396166,0 days 00:00:06.228151,99,COMPLETE
28,0.1360801893113163,2025-07-24 22:52:57.397177,2025-07-24 22:53:00.712640,0 days 00:00:03.315463,60,COMPLETE
29,106756.2972564479,2025-07-24 22:53:00.713640,2025-07-24 22:53:08.679136,0 days 00:00:07.965496,117,COMPLETE
30,1.3508623943801095,2025-07-24 22:53:08.680129,2025-07-24 22:53:38.463035,0 days 00:00:29.782906,207,COMPLETE
31,0.12637334247973694,2025-07-24 22:53:38.464033,2025-07-24 22:53:40.765033,0 days 00:00:02.301000,37,COMPLETE
32,0.12133092882740908,2025-07-24 22:53:40.766038,2025-07-24 22:53:43.323882,0 days 00:00:02.557844,46,COMPLETE
