number,value,datetime_start,datetime_complete,duration,params_lags,state
0,0.11935670219708926,2025-07-26 10:08:59.048035,2025-07-26 10:15:11.182040,0 days 00:06:12.134005,124,COMPLETE
1,0.11629584468518077,2025-07-26 10:15:11.183057,2025-07-26 10:23:31.362237,0 days 00:08:20.179180,188,COMPLETE
2,0.11590201345706586,2025-07-26 10:23:31.363237,2025-07-26 10:31:44.129711,0 days 00:08:12.766474,186,COMPLETE
3,0.11542093809790888,2025-07-26 10:31:44.130708,2025-07-26 10:39:32.929771,0 days 00:07:48.799063,171,COMPLETE
4,0.17446199605826493,2025-07-26 10:39:32.930771,2025-07-26 10:40:04.053271,0 days 00:00:31.122500,11,COMPLETE
5,0.11995482143544246,2025-07-26 10:40:04.055203,2025-07-26 10:46:41.144199,0 days 00:06:37.088996,145,COMPLETE
6,0.11872086828679052,2025-07-26 10:46:41.144199,2025-07-26 10:50:42.797414,0 days 00:04:01.653215,81,COMPLETE
7,0.11849857068142795,2025-07-26 10:50:42.798385,2025-07-26 10:56:07.110199,0 days 00:05:24.311814,110,COMPLETE
8,0.11985445536479657,2025-07-26 10:56:07.111200,2025-07-26 11:02:39.843048,0 days 00:06:32.731848,138,COMPLETE
9,0.12582023416847407,2025-07-26 11:02:39.844048,2025-07-26 11:04:46.815046,0 days 00:02:06.970998,43,COMPLETE
10,0.11598811514429275,2025-07-26 11:04:46.816045,2025-07-26 11:12:26.589773,0 days 00:07:39.773728,168,COMPLETE
11,0.115962177916488,2025-07-26 11:12:26.590774,2025-07-26 11:21:10.348213,0 days 00:08:43.757439,197,COMPLETE
12,0.11518386469349219,2025-07-26 11:21:10.349209,2025-07-26 11:30:27.129269,0 days 00:09:16.780060,208,COMPLETE
13,0.11518386469349219,2025-07-26 11:30:27.130269,2025-07-26 11:39:29.466805,0 days 00:09:02.336536,208,COMPLETE
14,0.11518386469349219,2025-07-26 11:39:29.468804,2025-07-26 11:48:52.690954,0 days 00:09:23.222150,208,COMPLETE
15,0.1205685878548442,2025-07-26 11:48:52.691954,2025-07-26 11:53:24.157709,0 days 00:04:31.465755,79,COMPLETE
16,0.1164904538810319,2025-07-26 11:53:24.158711,2025-07-26 12:01:18.414447,0 days 00:07:54.255736,157,COMPLETE
17,0.11475373941940915,2025-07-26 12:01:18.415448,2025-07-26 12:10:26.649981,0 days 00:09:08.234533,204,COMPLETE
18,0.11854604310263972,2025-07-26 12:10:26.651019,2025-07-26 12:14:59.372692,0 days 00:04:32.721673,87,COMPLETE
19,0.11674824231003868,2025-07-26 12:14:59.372692,2025-07-26 12:22:57.371945,0 days 00:07:57.999253,176,COMPLETE
20,0.11971937371216772,2025-07-26 12:22:57.372929,2025-07-26 12:30:00.546003,0 days 00:07:03.173074,151,COMPLETE
21,0.11542467049290944,2025-07-26 12:30:00.547001,2025-07-26 12:38:35.633982,0 days 00:08:35.086981,207,COMPLETE
22,0.11518386469349219,2025-07-26 12:38:35.634977,2025-07-26 12:47:13.674838,0 days 00:08:38.039861,208,COMPLETE
23,0.11590201345706586,2025-07-26 12:47:13.675836,2025-07-26 12:55:26.566259,0 days 00:08:12.890423,186,COMPLETE
24,0.11569901711733567,2025-07-26 12:55:26.567251,2025-07-26 13:03:55.189888,0 days 00:08:28.622637,166,COMPLETE
25,0.1159087625895815,2025-07-26 13:03:55.191398,2025-07-26 13:13:58.751033,0 days 00:10:03.559635,193,COMPLETE
26,0.11575679476548034,2025-07-26 13:13:58.752029,2025-07-26 13:24:00.223090,0 days 00:10:01.471061,181,COMPLETE
27,0.11862167795684564,2025-07-26 13:24:00.224605,2025-07-26 13:31:41.093104,0 days 00:07:40.868499,128,COMPLETE
28,0.12551301051179428,2025-07-26 13:31:41.093615,2025-07-26 13:34:43.780124,0 days 00:03:02.686509,45,COMPLETE
29,0.11910838763471836,2025-07-26 13:34:43.781111,2025-07-26 13:41:33.141640,0 days 00:06:49.360529,104,COMPLETE
30,0.115962177916488,2025-07-26 13:41:33.142644,2025-07-26 13:51:39.055691,0 days 00:10:05.913047,197,COMPLETE
31,0.11518386469349219,2025-07-26 13:51:39.057188,2025-07-26 14:02:18.178654,0 days 00:10:39.121466,208,COMPLETE
32,0.11624410876431435,2025-07-26 14:02:18.180161,2025-07-26 14:12:13.353137,0 days 00:09:55.172976,198,COMPLETE
33,0.11528682439411199,2025-07-26 14:12:13.354137,2025-07-26 14:21:32.173016,0 days 00:09:18.818879,182,COMPLETE
34,0.11587209443620528,2025-07-26 14:21:32.174041,2025-07-26 14:30:19.622933,0 days 00:08:47.448892,158,COMPLETE
35,0.1158331574721001,2025-07-26 14:30:19.624470,2025-07-26 14:40:42.677470,0 days 00:10:23.053000,191,COMPLETE
36,0.11578840158113606,2025-07-26 14:40:42.678969,2025-07-26 14:50:37.184705,0 days 00:09:54.505736,175,COMPLETE
37,0.11592675616699095,2025-07-26 14:50:37.185709,2025-07-26 15:01:39.138925,0 days 00:11:01.953216,200,COMPLETE
38,0.11590201345706586,2025-07-26 15:01:39.140000,2025-07-26 15:12:09.718229,0 days 00:10:30.578229,186,COMPLETE
39,0.11587598230487868,2025-07-26 15:12:09.719228,2025-07-26 15:21:07.617765,0 days 00:08:57.898537,164,COMPLETE
40,0.11954147656556428,2025-07-26 15:21:07.619282,2025-07-26 15:29:11.056110,0 days 00:08:03.436828,139,COMPLETE
41,0.1160344215081887,2025-07-26 15:29:11.058104,2025-07-26 15:40:30.872878,0 days 00:11:19.814774,199,COMPLETE
42,0.11542467049290944,2025-07-26 15:40:30.874422,2025-07-26 15:52:26.439474,0 days 00:11:55.565052,207,COMPLETE
43,0.11542467049290944,2025-07-26 15:52:26.440967,2025-07-26 16:03:37.525312,0 days 00:11:11.084345,207,COMPLETE
44,0.11579524921179267,2025-07-26 16:03:37.527311,2025-07-26 16:13:36.771466,0 days 00:09:59.244155,190,COMPLETE
45,0.11570313040164877,2025-07-26 16:13:36.772965,2025-07-26 16:23:13.484614,0 days 00:09:36.711649,174,COMPLETE
46,0.11528682439411199,2025-07-26 16:23:13.486103,2025-07-26 16:34:50.996536,0 days 00:11:37.510433,182,COMPLETE
47,0.1520946052660528,2025-07-26 16:34:50.998046,2025-07-26 16:36:19.075156,0 days 00:01:28.077110,24,COMPLETE
48,0.11557369469901091,2025-07-26 16:36:19.076156,2025-07-26 16:45:57.246873,0 days 00:09:38.170717,201,COMPLETE
49,0.11605782608568332,2025-07-26 16:45:57.247871,2025-07-26 16:55:12.015628,0 days 00:09:14.767757,189,COMPLETE
50,0.11600597808207384,2025-07-26 16:55:12.016635,2025-07-26 17:03:47.375722,0 days 00:08:35.359087,170,COMPLETE
51,0.11518386469349219,2025-07-26 17:03:47.376721,2025-07-26 17:12:45.620245,0 days 00:08:58.243524,208,COMPLETE
52,0.11518386469349219,2025-07-26 17:12:45.621745,2025-07-26 17:21:54.060719,0 days 00:09:08.438974,208,COMPLETE
53,0.11613130950507915,2025-07-26 17:21:54.062218,2025-07-26 17:30:47.959349,0 days 00:08:53.897131,196,COMPLETE
54,0.11592675616699095,2025-07-26 17:30:47.960371,2025-07-26 17:40:15.868986,0 days 00:09:27.908615,200,COMPLETE
55,0.116399958730197,2025-07-26 17:40:15.870002,2025-07-26 17:50:36.916378,0 days 00:10:21.046376,178,COMPLETE
56,0.1158331574721001,2025-07-26 17:50:36.917378,2025-07-26 18:01:27.117515,0 days 00:10:50.200137,191,COMPLETE
57,0.11491258578087508,2025-07-26 18:01:27.119022,2025-07-26 18:12:29.626960,0 days 00:11:02.507938,202,COMPLETE
58,0.11665622151308826,2025-07-26 18:12:29.627969,2025-07-26 18:23:08.178019,0 days 00:10:38.550050,187,COMPLETE
59,0.11957789265045603,2025-07-26 18:23:08.179025,2025-07-26 18:27:26.578599,0 days 00:04:18.399574,64,COMPLETE
60,0.11949722653922475,2025-07-26 18:27:26.579604,2025-07-26 18:34:36.762361,0 days 00:07:10.182757,114,COMPLETE
61,0.114129009713914,2025-07-26 18:34:36.763854,2025-07-26 18:46:08.143984,0 days 00:11:31.380130,203,COMPLETE
62,0.114129009713914,2025-07-26 18:46:08.146492,2025-07-26 18:56:42.495439,0 days 00:10:34.348947,203,COMPLETE
63,0.11557369469901091,2025-07-26 18:56:42.496441,2025-07-26 19:06:45.753250,0 days 00:10:03.256809,201,COMPLETE
