epiweek,WeekStart,WeekMid,WeekEnd,Year,Week,train_1,target_1,train_2,target_2,train_3,target_3
200952,27/12/2009,31/12/2009,02/01/2010,2009,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
201001,03/01/2010,07/01/2010,09/01/2010,2010,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201002,10/01/2010,14/01/2010,16/01/2010,2010,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201003,17/01/2010,21/01/2010,23/01/2010,2010,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201004,24/01/2010,28/01/2010,30/01/2010,2010,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201005,31/01/2010,04/02/2010,06/02/2010,2010,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201006,07/02/2010,11/02/2010,13/02/2010,2010,6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201007,14/02/2010,18/02/2010,20/02/2010,2010,7,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201008,21/02/2010,25/02/2010,27/02/2010,2010,8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201009,28/02/2010,04/03/2010,06/03/2010,2010,9,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201010,07/03/2010,11/03/2010,13/03/2010,2010,10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201011,14/03/2010,18/03/2010,20/03/2010,2010,11,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201012,21/03/2010,25/03/2010,27/03/2010,2010,12,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201013,28/03/2010,01/04/2010,03/04/2010,2010,13,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201014,04/04/2010,08/04/2010,10/04/2010,2010,14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201015,11/04/2010,15/04/2010,17/04/2010,2010,15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201016,18/04/2010,22/04/2010,24/04/2010,2010,16,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201017,25/04/2010,29/04/2010,01/05/2010,2010,17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201018,02/05/2010,06/05/2010,08/05/2010,2010,18,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201019,09/05/2010,13/05/2010,15/05/2010,2010,19,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201020,16/05/2010,20/05/2010,22/05/2010,2010,20,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201021,23/05/2010,27/05/2010,29/05/2010,2010,21,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201022,30/05/2010,03/06/2010,05/06/2010,2010,22,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201023,06/06/2010,10/06/2010,12/06/2010,2010,23,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201024,13/06/2010,17/06/2010,19/06/2010,2010,24,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201025,20/06/2010,24/06/2010,26/06/2010,2010,25,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201026,27/06/2010,01/07/2010,03/07/2010,2010,26,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201027,04/07/2010,08/07/2010,10/07/2010,2010,27,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201028,11/07/2010,15/07/2010,17/07/2010,2010,28,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201029,18/07/2010,22/07/2010,24/07/2010,2010,29,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201030,25/07/2010,29/07/2010,31/07/2010,2010,30,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201031,01/08/2010,05/08/2010,07/08/2010,2010,31,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201032,08/08/2010,12/08/2010,14/08/2010,2010,32,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201033,15/08/2010,19/08/2010,21/08/2010,2010,33,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201034,22/08/2010,26/08/2010,28/08/2010,2010,34,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201035,29/08/2010,02/09/2010,04/09/2010,2010,35,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201036,05/09/2010,09/09/2010,11/09/2010,2010,36,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201037,12/09/2010,16/09/2010,18/09/2010,2010,37,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201038,19/09/2010,23/09/2010,25/09/2010,2010,38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201039,26/09/2010,30/09/2010,02/10/2010,2010,39,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201040,03/10/2010,07/10/2010,09/10/2010,2010,40,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201041,10/10/2010,14/10/2010,16/10/2010,2010,41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201042,17/10/2010,21/10/2010,23/10/2010,2010,42,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201043,24/10/2010,28/10/2010,30/10/2010,2010,43,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201044,31/10/2010,04/11/2010,06/11/2010,2010,44,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201045,07/11/2010,11/11/2010,13/11/2010,2010,45,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201046,14/11/2010,18/11/2010,20/11/2010,2010,46,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201047,21/11/2010,25/11/2010,27/11/2010,2010,47,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201048,28/11/2010,02/12/2010,04/12/2010,2010,48,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201049,05/12/2010,09/12/2010,11/12/2010,2010,49,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201050,12/12/2010,16/12/2010,18/12/2010,2010,50,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201051,19/12/2010,23/12/2010,25/12/2010,2010,51,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201052,26/12/2010,30/12/2010,01/01/2011,2010,52,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201101,02/01/2011,06/01/2011,08/01/2011,2011,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201102,09/01/2011,13/01/2011,15/01/2011,2011,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201103,16/01/2011,20/01/2011,22/01/2011,2011,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201104,23/01/2011,27/01/2011,29/01/2011,2011,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201105,30/01/2011,03/02/2011,05/02/2011,2011,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201106,06/02/2011,10/02/2011,12/02/2011,2011,6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201107,13/02/2011,17/02/2011,19/02/2011,2011,7,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201108,20/02/2011,24/02/2011,26/02/2011,2011,8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201109,27/02/2011,03/03/2011,05/03/2011,2011,9,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201110,06/03/2011,10/03/2011,12/03/2011,2011,10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201111,13/03/2011,17/03/2011,19/03/2011,2011,11,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201112,20/03/2011,24/03/2011,26/03/2011,2011,12,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201113,27/03/2011,31/03/2011,02/04/2011,2011,13,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201114,03/04/2011,07/04/2011,09/04/2011,2011,14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201115,10/04/2011,14/04/2011,16/04/2011,2011,15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201116,17/04/2011,21/04/2011,23/04/2011,2011,16,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201117,24/04/2011,28/04/2011,30/04/2011,2011,17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201118,01/05/2011,05/05/2011,07/05/2011,2011,18,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201119,08/05/2011,12/05/2011,14/05/2011,2011,19,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201120,15/05/2011,19/05/2011,21/05/2011,2011,20,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201121,22/05/2011,26/05/2011,28/05/2011,2011,21,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201122,29/05/2011,02/06/2011,04/06/2011,2011,22,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201123,05/06/2011,09/06/2011,11/06/2011,2011,23,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201124,12/06/2011,16/06/2011,18/06/2011,2011,24,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201125,19/06/2011,23/06/2011,25/06/2011,2011,25,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201126,26/06/2011,30/06/2011,02/07/2011,2011,26,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201127,03/07/2011,07/07/2011,09/07/2011,2011,27,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201128,10/07/2011,14/07/2011,16/07/2011,2011,28,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201129,17/07/2011,21/07/2011,23/07/2011,2011,29,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201130,24/07/2011,28/07/2011,30/07/2011,2011,30,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201131,31/07/2011,04/08/2011,06/08/2011,2011,31,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201132,07/08/2011,11/08/2011,13/08/2011,2011,32,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201133,14/08/2011,18/08/2011,20/08/2011,2011,33,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201134,21/08/2011,25/08/2011,27/08/2011,2011,34,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201135,28/08/2011,01/09/2011,03/09/2011,2011,35,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201136,04/09/2011,08/09/2011,10/09/2011,2011,36,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201137,11/09/2011,15/09/2011,17/09/2011,2011,37,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201138,18/09/2011,22/09/2011,24/09/2011,2011,38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
