"Year","Week","epiweek","WeekStart","WeekMid","WeekEnd","enso","iod","pdo","num_days"
2009,52,200952,2009-12-27,2009-12-31,2010-01-02,1.31682931377551,-0.078629112244898,-0.227111507653061,7
2010,1,201001,2010-01-03,2010-01-07,2010-01-09,1.20971924489796,-0.418311918367347,-0.0108807551020408,7
2010,2,201002,2010-01-10,2010-01-14,2010-01-16,1.08542317346939,-0.468480826530612,0.136784744897959,7
2010,3,201003,2010-01-17,2010-01-21,2010-01-23,0.990825571428571,-0.272371571428571,0.0763984285714286,7
2010,4,201004,2010-01-24,2010-01-28,2010-01-30,1.06997614285714,-0.0708915714285714,0.223252,7
2010,5,201005,2010-01-31,2010-02-04,2010-02-06,1.250612,0.11774725,0.200356,7
2010,6,201006,2010-02-07,2010-02-11,2010-02-13,1.3043212244898,0.426537709183673,-0.0485444285714286,7
2010,7,201007,2010-02-14,2010-02-18,2010-02-20,1.23595763265306,0.65057512244898,-0.0768893877551021,7
2010,8,201008,2010-02-21,2010-02-25,2010-02-27,1.13622314285714,0.708786918367347,0.0214221734693878,7
2010,9,201009,2010-02-28,2010-03-04,2010-03-06,1.11512514285714,0.724325142857143,-0.188443571428571,7
2010,10,201010,2010-03-07,2010-03-11,2010-03-13,1.0087175,0.601349375,-0.2840185,7
2010,11,201011,2010-03-14,2010-03-18,2010-03-20,0.902085765306123,0.393465451530612,-0.157884540816327,7
2010,12,201012,2010-03-21,2010-03-25,2010-03-27,0.793137510204082,0.117345081632653,-0.224395612244898,7
2010,13,201013,2010-03-28,2010-04-01,2010-04-03,0.720778081632653,0.087081306122449,-0.478150775510204,7
2010,14,201014,2010-04-04,2010-04-08,2010-04-10,0.688360142857143,0.203900142857143,-0.215637142857143,7
2010,15,201015,2010-04-11,2010-04-15,2010-04-17,0.588105857142857,0.0251567142857143,-0.150948714285714,7
2010,16,201016,2010-04-18,2010-04-22,2010-04-24,0.4481005,-0.119248375,-0.3304745,7
2010,17,201017,2010-04-25,2010-04-29,2010-05-01,0.326065051020408,0.017891568877551,-0.339065826530612,7
2010,18,201018,2010-05-02,2010-05-06,2010-05-08,0.192026020408163,0.393548326530612,-0.296729489795918,7
2010,19,201019,2010-05-09,2010-05-13,2010-05-15,0.0904732857142857,0.171188051020408,-0.349140755102041,7
2010,20,201020,2010-05-16,2010-05-20,2010-05-22,-0.0616787142857143,-0.167801571428571,-0.380081857142857,7
2010,21,201021,2010-05-23,2010-05-27,2010-05-29,-0.190070142857143,-0.245319857142857,-0.248326857142857,7
2010,22,201022,2010-05-30,2010-06-03,2010-06-05,-0.327000625,-0.016080375,-0.08788125,7
2010,23,201023,2010-06-06,2010-06-10,2010-06-12,-0.487155875,0.265470956632653,-0.190028096938776,7
2010,24,201024,2010-06-13,2010-06-17,2010-06-19,-0.541508204081633,0.436667204081633,-0.285693306122449,7
2010,25,201025,2010-06-20,2010-06-24,2010-06-26,-0.543588010204082,0.587224928571428,-0.267107489795918,7
2010,26,201026,2010-06-27,2010-07-01,2010-07-03,-0.628492714285714,0.496185857142857,-0.333810571428571,7
2010,27,201027,2010-07-04,2010-07-08,2010-07-10,-0.755552875,0.14265775,-0.29930825,7
2010,28,201028,2010-07-11,2010-07-15,2010-07-17,-0.756270461734694,0.0234588418367347,-0.15862362755102,7
2010,29,201029,2010-07-18,2010-07-22,2010-07-24,-0.751727571428571,0.023926,-0.0819190408163265,7
2010,30,201030,2010-07-25,2010-07-29,2010-07-31,-0.874630234693878,-0.145246520408163,-0.261878653061224,7
2010,31,201031,2010-08-01,2010-08-05,2010-08-07,-1.03561028571429,-0.530798285714286,-0.444914142857143,7
2010,32,201032,2010-08-08,2010-08-12,2010-08-14,-1.085751,-0.607952857142857,-0.358769142857143,7
2010,33,201033,2010-08-15,2010-08-19,2010-08-21,-1.143634375,-0.7651195,-0.356115,7
2010,34,201034,2010-08-22,2010-08-26,2010-08-28,-1.21150943112245,-0.99507056122449,-0.426232428571429,7
2010,35,201035,2010-08-29,2010-09-02,2010-09-04,-1.29226271428571,-1.19031551020408,-0.451019244897959,7
2010,36,201036,2010-09-05,2010-09-09,2010-09-11,-1.36734069387755,-1.25272164285714,-0.438225897959184,7
2010,37,201037,2010-09-12,2010-09-16,2010-09-18,-1.43286528571429,-1.268319,-0.457530428571429,7
2010,38,201038,2010-09-19,2010-09-23,2010-09-25,-1.48422185714286,-1.44162571428571,-0.450047428571429,7
2010,39,201039,2010-09-26,2010-09-30,2010-10-02,-1.508036125,-1.684941375,-0.346746625,7
2010,40,201040,2010-10-03,2010-10-07,2010-10-09,-1.50292564030612,-1.93368996173469,-0.206882385204082,7
2010,41,201041,2010-10-10,2010-10-14,2010-10-16,-1.56262409183673,-2.15097316326531,-0.325612989795918,7
2010,42,201042,2010-10-17,2010-10-21,2010-10-23,-1.60130628571429,-2.25514471428571,-0.397004,7
2010,43,201043,2010-10-24,2010-10-28,2010-10-30,-1.60671742857143,-2.06061,-0.303308857142857,7
2010,44,201044,2010-10-31,2010-11-04,2010-11-06,-1.618040625,-1.892168125,-0.141667375,7
2010,45,201045,2010-11-07,2010-11-11,2010-11-13,-1.631505875,-2.00759423214286,0.0359909158163265,7
2010,46,201046,2010-11-14,2010-11-18,2010-11-20,-1.63696893877551,-2.10184506122449,-0.0160987755102041,7
2010,47,201047,2010-11-21,2010-11-25,2010-11-27,-1.63103298979592,-2.24505486734694,-0.381660408163265,7
2010,48,201048,2010-11-28,2010-12-02,2010-12-04,-1.66342157142857,-2.44549385714286,-0.702828142857143,7
2010,49,201049,2010-12-05,2010-12-09,2010-12-11,-1.65908042857143,-2.56969542857143,-0.575753571428571,7
2010,50,201050,2010-12-12,2010-12-16,2010-12-18,-1.68172,-2.601655875,-0.534096125,7
2010,51,201051,2010-12-19,2010-12-23,2010-12-25,-1.70540779591837,-2.64470833928571,-0.461165803571429,7
2010,52,201052,2010-12-26,2010-12-30,2011-01-01,-1.70297563265306,-2.8434126122449,-0.307292918367347,7
2011,1,201101,2011-01-02,2011-01-06,2011-01-08,-1.66714578571429,-3.21339203061224,-0.174449653061224,7
2011,2,201102,2011-01-09,2011-01-13,2011-01-15,-1.74034442857143,-3.241862,-0.00976757142857142,7
2011,3,201103,2011-01-16,2011-01-20,2011-01-22,-1.77888425,-3.01269725,-0.179039375,7
2011,4,201104,2011-01-23,2011-01-27,2011-01-29,-1.70836309693878,-2.61429319897959,-0.346027798469388,7
2011,5,201105,2011-01-30,2011-02-03,2011-02-05,-1.57014426530612,-2.3709532244898,-0.441615081632653,7
2011,6,201106,2011-02-06,2011-02-10,2011-02-12,-1.38877881632653,-2.50297182653061,-0.628527673469388,7
2011,7,201107,2011-02-13,2011-02-17,2011-02-19,-1.34037571428571,-2.35942585714286,-0.611001428571429,7
2011,8,201108,2011-02-20,2011-02-24,2011-02-26,-1.30878057142857,-2.17952285714286,-0.308901285714286,7
2011,9,201109,2011-02-27,2011-03-03,2011-03-05,-1.208837375,-2.027411375,-0.307521125,7
2011,10,201110,2011-03-06,2011-03-10,2011-03-12,-1.0527517372449,-1.95650692091837,-0.549902517857143,7
2011,11,201111,2011-03-13,2011-03-17,2011-03-19,-0.987044489795918,-2.01440565306122,-0.699355795918367,7
2011,12,201112,2011-03-20,2011-03-24,2011-03-26,-0.968713540816327,-2.11665376530612,-0.761265918367347,7
2011,13,201113,2011-03-27,2011-03-31,2011-04-02,-0.910582142857143,-1.881093,-0.827816428571429,7
2011,14,201114,2011-04-03,2011-04-07,2011-04-09,-0.799466142857143,-1.62710642857143,-0.809150428571429,7
2011,15,201115,2011-04-10,2011-04-14,2011-04-16,-0.7622475,-1.608172625,-0.644989375,7
2011,16,201116,2011-04-17,2011-04-21,2011-04-23,-0.731185948979592,-1.49547242602041,-0.594605614795918,7
2011,17,201117,2011-04-24,2011-04-28,2011-04-30,-0.662928265306122,-1.30398394897959,-0.826850224489796,7
2011,18,201118,2011-05-01,2011-05-05,2011-05-07,-0.586035428571429,-1.12911428571429,-0.928836857142857,7
2011,19,201119,2011-05-08,2011-05-12,2011-05-14,-0.494923857142857,-1.17256942857143,-0.799554142857143,7
2011,20,201120,2011-05-15,2011-05-19,2011-05-21,-0.41868175,-1.10349775,-0.710772125,7
2011,21,201121,2011-05-22,2011-05-26,2011-05-28,-0.381589923469388,-0.922887025510204,-0.756731415816327,7
2011,22,201122,2011-05-29,2011-06-02,2011-06-04,-0.435397040816327,-0.712056918367347,-0.837262959183674,7
2011,23,201123,2011-06-05,2011-06-09,2011-06-11,-0.533303642857143,-0.455938948979592,-0.877547857142857,7
2011,24,201124,2011-06-12,2011-06-16,2011-06-18,-0.459422571428571,-0.191809571428571,-0.962111571428571,7
2011,25,201125,2011-06-19,2011-06-23,2011-06-25,-0.36109,0.000408428571428565,-1.018807,7
2011,26,201126,2011-06-26,2011-06-30,2011-07-02,-0.377883125,-0.01078225,-1.00127625,7
2011,27,201127,2011-07-03,2011-07-07,2011-07-09,-0.477401375,-0.18536168877551,-0.957234525510204,7
2011,28,201128,2011-07-10,2011-07-14,2011-07-16,-0.466467714285714,-0.340150816326531,-0.926293326530612,7
2011,29,201129,2011-07-17,2011-07-21,2011-07-23,-0.490139428571429,-0.321381244897959,-0.946836255102041,7
2011,30,201130,2011-07-24,2011-07-28,2011-07-30,-0.571899571428572,-0.273892571428571,-0.918719857142857,7
2011,31,201131,2011-07-31,2011-08-04,2011-08-06,-0.656349571428571,-0.266098857142857,-0.994505142857143,7
2011,32,201132,2011-08-07,2011-08-11,2011-08-13,-0.61179575,-0.01056,-1.057758375,7
2011,33,201133,2011-08-14,2011-08-18,2011-08-20,-0.569216576530612,0.142696346938776,-0.951551941326531,7
2011,34,201134,2011-08-21,2011-08-25,2011-08-27,-0.551377030612245,0.32566643877551,-0.884791826530612,7
2011,35,201135,2011-08-28,2011-09-01,2011-09-03,-0.579185428571429,0.455945571428571,-0.813877428571429,7
2011,36,201136,2011-09-04,2011-09-08,2011-09-10,-0.719156714285714,0.529232,-0.726952714285714,7
